,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
443566,1/19/2018,61.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.600282799999995, -73.95376734]"
443571,1/19/2018,110.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,"[40.74275929, -73.87902831]"
443573,1/19/2018,46.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,"[40.84758678, -73.90632201]"
443587,1/19/2018,60.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.58290824, -73.96124964]"
443601,1/19/2018,47.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.8835839, -73.8628056]"
443645,1/19/2018,14.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.75373039, -73.99606003]"
443650,1/19/2018,25.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.80193203, -73.93565411]"
443654,1/19/2018,61.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.58771824, -73.95665995]"
443665,1/19/2018,114.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.77144692, -73.91176156]"
443711,1/19/2018,49.0,BRONX,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.87121457, -73.85037127]"
443712,1/19/2018,70.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.62378983, -73.96302347]"
443773,1/18/2018,44.0,BRONX,106,FELONY,FELONY ASSAULT,STRANGULATION 1ST,"[40.83421943, -73.91253115]"
443775,1/18/2018,114.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.76379605, -73.91011114]"
443777,1/18/2018,44.0,BRONX,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.83421943, -73.91253115]"
443778,1/18/2018,40.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.80620115, -73.91598873]"
443783,1/18/2018,46.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.85382357, -73.90733259999999]"
443786,1/18/2018,73.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.67608072, -73.90543089]"
443790,1/18/2018,14.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.75288388, -73.98343469]"
443794,1/18/2018,13.0,MANHATTAN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.7415063, -73.97973859999999]"
443796,1/18/2018,81.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,"[40.67787838, -73.93731324]"
443800,1/18/2018,70.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.64707084, -73.96214571]"
443802,1/18/2018,120.0,STATEN ISLAND,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.63690228, -74.0868492]"
443812,1/18/2018,109.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.76101135, -73.81982034]"
443813,1/18/2018,110.0,QUEENS,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.73804957, -73.85990090000001]"
443818,1/18/2018,114.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.75378397, -73.91108835]"
443828,1/18/2018,109.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.75691762, -73.82794205]"
443846,1/18/2018,103.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.70607933, -73.80081315]"
443847,1/18/2018,103.0,QUEENS,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.70607933, -73.80081315]"
443856,1/18/2018,123.0,STATEN ISLAND,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.52381536, -74.21787953]"
443863,1/18/2018,44.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.841413, -73.92794676]"
443865,1/18/2018,23.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.79966526, -73.94719978]"
443876,1/18/2018,67.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.643163200000004, -73.95019911]"
443888,1/18/2018,115.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.75464837, -73.86558331]"
443890,1/18/2018,115.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.75464837, -73.86558331]"
443891,1/18/2018,46.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.84988916, -73.91648297]"
443897,1/18/2018,13.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.7372031, -73.98327259999999]"
443908,1/18/2018,46.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.86115687, -73.89698654]"
443913,1/18/2018,104.0,QUEENS,106,FELONY,FELONY ASSAULT,STRANGULATION 1ST,"[40.69781121, -73.9022878]"
443916,1/18/2018,75.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.66478769, -73.88339786]"
443920,1/18/2018,43.0,BRONX,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.83031232, -73.86313587]"
443921,1/18/2018,79.0,BROOKLYN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.68100473, -73.95503458]"
443940,1/18/2018,25.0,MANHATTAN,106,FELONY,FELONY ASSAULT,ASSAULT OTHER PUBLIC SERVICE EMPLOYEE,"[40.7878746, -73.92818165]"
443950,1/18/2018,79.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.69427867, -73.94898894]"
