,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
93897,10/15/2018,20.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.78405987, -73.97502051]"
93934,10/15/2018,24.0,MANHATTAN,104,FELONY,RAPE,RAPE 1,"[40.79657114, -73.96718569]"
93944,10/15/2018,108.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.74308017, -73.95473646]"
93945,10/15/2018,108.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.74308017, -73.95473646]"
93956,10/15/2018,41.0,BRONX,104,FELONY,RAPE,RAPE 1,"[40.81639185, -73.89529641]"
93996,10/15/2018,32.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.81573205, -73.94542041]"
94020,10/15/2018,79.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.68887215, -73.94452903]"
94027,10/15/2018,34.0,MANHATTAN,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.85148777, -73.93545797]"
94038,10/15/2018,109.0,QUEENS,104,FELONY,RAPE,RAPE 1,"[40.76233422, -73.82691731]"
94060,10/15/2018,101.0,QUEENS,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.60295159, -73.74997626]"
94067,10/15/2018,60.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.5761573, -73.9759838]"
94072,10/15/2018,73.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.67065507, -73.91339092]"
94109,10/15/2018,41.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.81639185, -73.89529641]"
94119,10/15/2018,63.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL MISCONDUCT,INTERCOURSE","[40.62797776, -73.94164716]"
94120,10/15/2018,13.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.73669807, -73.98331603]"
94125,10/15/2018,112.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.72236369, -73.85147389]"
94126,10/15/2018,10.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.7426993, -73.99865538]"
94127,10/15/2018,111.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.76018548, -73.76784258]"
94131,10/15/2018,45.0,BRONX,104,FELONY,RAPE,RAPE 1,"[40.83088999, -73.82728462]"
94132,10/15/2018,61.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.59414517, -73.96041495]"
94152,10/14/2018,115.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.75686098, -73.87565666]"
94194,10/14/2018,42.0,BRONX,104,FELONY,RAPE,RAPE 3,"[40.82256992, -73.91130717]"
94272,10/14/2018,1.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.72025522, -74.00709028]"
94519,10/14/2018,73.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.67065507, -73.91339092]"
